ह्स्तयोः प्रयोगे
अलङकृतवान् वर्षे
भारतम् आगच्छत्
वर्षे साइंस
कॉङ्ग्रेससंस्थायाः गणितभौतिकविभागयोः
अध्यक्षः अभवत्
वर्षे मेमासस्य
दिनाङ्के ठाकूरः
इटलिदेशस्य नेपल्सम्
अगच्छत् तमस्य
वर्षस्य जनवरीमासस्य
अष्टादशे दिनाङ्के
संसद्भवनस्य उद्घाटनं
तत्कालीनस्य गवर्नर्
जनरल् लॉर्ड्
इर्विन् इत्यस्य
हस्ताभ्याम् अभवत्
वर्षे स्नातकोत्तरपदवीधरा
वर्षे विदेशिवस्तुबहिष्कारस्य
आन्दोलनस्य प्रचारार्थं
महात्मा अनन्तपुरस्य
सभाम् अगच्छत्
तमवर्षस्य मार्चप्रथमे
दिनाङ्के पिहितम्
